id,member_id,product_id,quantity,start_month,cancel_month
1,1,5,1,2024-09-01,
2,1,10,1,2024-09-01,2026-02-01
3,1,5,1,2025-02-01,
4,1,10,1,2025-06-01,2025-12-01
5,2,1,1,2024-09-01,
6,2,9,1,2024-09-01,
7,2,4,1,2025-03-01,
8,2,8,1,2025-02-01,
9,2,7,1,2024-10-01,
10,3,5,1,2024-09-01,
11,3,5,1,2024-09-01,2026-01-01
12,3,9,1,2024-10-01,
13,3,4,1,2025-03-01,
14,3,1,1,2025-03-01,
15,4,6,1,2024-09-01,
16,4,1,1,2024-09-01,2025-02-01
17,4,8,1,2025-05-01,
18,5,9,1,2024-09-01,
19,6,2,1,2024-09-01,
20,7,2,1,2024-09-01,
21,7,3,1,2024-09-01,
22,7,11,1,2025-02-01,
23,7,11,1,2025-03-01,
24,7,9,1,2025-02-01,
25,8,4,1,2024-09-01,2025-06-01
26,9,1,1,2024-09-01,
27,9,9,1,2024-11-01,2025-12-01
28,10,2,1,2024-09-01,2025-05-01
29,10,11,1,2024-09-01,
30,11,3,1,2024-09-01,
31,11,2,1,2024-09-01,
32,11,1,1,2025-04-01,
33,11,6,1,2024-11-01,
34,12,1,1,2024-09-01,
35,12,2,2,2024-09-01,
36,12,3,3,2024-09-01,
37,12,4,2,2024-09-01,
38,12,5,2,2024-10-01,
39,12,6,2,2024-09-01,
40,12,8,1,2024-10-01,
41,12,11,2,2024-09-01,
42,12,12,1,2024-10-01,
43,12,9,2,2024-09-01,
44,12,7,1,2024-09-01,
45,13,11,1,2024-09-01,
46,13,1,1,2024-09-01,2025-06-01
47,14,5,1,2024-09-01,
48,14,10,1,2024-09-01,
49,14,5,1,2025-05-01,
50,15,5,1,2024-09-01,
51,15,10,1,2024-11-01,
52,15,8,1,2024-11-01,
53,16,12,1,2024-09-01,
54,17,3,1,2024-09-01,
55,17,1,1,2024-09-01,
56,17,12,1,2024-11-01,
57,18,3,1,2024-09-01,
58,18,7,1,2024-09-01,
59,18,9,1,2025-01-01,
60,19,3,1,2024-09-01,
61,19,7,1,2024-09-01,
62,19,5,1,2024-12-01,
63,19,8,1,2025-04-01,
64,19,6,1,2025-02-01,
65,20,11,1,2024-09-01,
66,21,6,1,2024-09-01,2026-11-01
67,22,2,1,2024-09-01,
68,22,1,1,2024-09-01,
69,22,4,1,2024-11-01,
70,23,8,1,2024-09-01,
71,24,3,1,2024-10-01,
72,24,1,1,2024-10-01,
73,24,6,1,2025-02-01,
74,24,1,1,2024-11-01,
75,24,1,1,2025-02-01,
76,25,3,1,2024-10-01,
77,25,10,1,2024-10-01,
78,25,7,1,2025-04-01,
79,25,3,1,2025-01-01,
80,25,1,1,2025-04-01,
81,26,7,1,2024-10-01,
82,27,1,1,2024-10-01,
83,28,9,1,2024-10-01,
84,29,5,1,2024-10-01,2026-03-01
85,29,3,1,2025-02-01,
86,30,9,1,2024-10-01,
87,30,3,1,2024-11-01,2026-08-01
88,30,5,1,2025-05-01,
89,31,10,1,2024-10-01,2025-01-01
90,32,4,1,2024-10-01,
91,32,8,1,2024-10-01,
92,32,2,1,2025-04-01,
93,32,5,1,2025-03-01,
94,33,2,1,2024-10-01,
95,33,12,1,2024-10-01,2026-10-01
96,33,7,1,2025-01-01,
97,33,3,1,2024-10-01,
98,34,9,1,2024-10-01,
99,35,5,1,2024-10-01,2026-07-01
100,35,3,1,2024-10-01,
101,36,11,1,2024-10-01,2025-09-01
102,37,7,1,2024-10-01,
103,37,7,1,2025-01-01,2025-09-01
104,37,4,1,2024-11-01,2024-12-01
105,38,4,1,2024-10-01,
106,38,5,1,2025-03-01,
107,39,3,1,2024-10-01,
108,39,6,1,2024-10-01,
109,39,1,1,2025-06-01,
110,40,10,1,2024-10-01,2025-09-01
111,40,8,1,2024-11-01,
112,41,8,1,2024-10-01,2024-11-01
113,42,9,1,2024-10-01,
114,43,3,1,2024-10-01,2025-08-01
115,43,8,1,2025-03-01,
116,43,6,1,2024-10-01,
117,44,1,2,2024-11-01,
118,44,2,2,2024-11-01,
119,44,3,1,2024-11-01,
120,44,4,2,2024-10-01,
121,44,5,1,2024-10-01,
122,44,6,2,2024-10-01,
123,44,8,1,2024-10-01,
124,44,12,1,2024-11-01,2024-12-01
125,44,11,2,2024-11-01,
126,44,9,2,2024-10-01,
127,44,7,2,2024-11-01,
128,45,1,3,2024-11-01,
129,45,2,1,2024-10-01,
130,45,3,1,2024-10-01,
131,45,4,1,2024-10-01,
132,45,5,1,2024-10-01,
133,45,6,3,2024-10-01,
134,45,9,1,2024-10-01,
135,45,12,2,2024-10-01,
136,45,11,1,2024-10-01,
137,45,7,2,2024-10-01,
138,45,8,1,2024-11-01,
139,45,10,2,2024-10-01,
140,46,12,1,2024-10-01,
141,47,7,1,2024-10-01,
142,48,4,1,2024-10-01,
143,48,5,1,2024-10-01,
144,48,7,1,2025-03-01,
145,49,7,1,2024-10-01,
146,49,9,1,2025-02-01,2025-09-01
147,50,1,1,2024-10-01,
148,50,9,1,2025-03-01,
149,51,6,1,2024-10-01,
150,51,4,1,2024-10-01,
151,51,1,1,2024-10-01,
152,51,10,1,2025-03-01,2026-06-01
153,52,11,1,2024-10-01,
154,52,3,1,2024-12-01,
155,53,4,1,2024-10-01,
156,54,7,1,2024-10-01,2025-10-01
157,55,5,1,2024-10-01,
158,56,2,1,2024-10-01,
159,56,6,1,2025-01-01,
160,57,12,1,2024-11-01,
161,58,7,1,2024-11-01,
162,59,2,1,2024-11-01,
163,60,11,1,2024-11-01,
164,61,9,1,2024-11-01,
165,61,6,1,2025-04-01,
166,62,8,1,2024-11-01,2025-09-01
167,63,3,1,2024-11-01,
168,63,3,1,2025-02-01,
169,63,5,1,2025-01-01,2025-09-01
170,64,5,1,2024-11-01,2025-10-01
171,65,9,1,2024-11-01,2025-02-01
172,66,6,1,2024-11-01,
173,66,6,1,2025-05-01,
174,67,6,1,2024-11-01,
175,68,10,1,2024-11-01,
176,68,12,1,2025-02-01,
177,69,6,1,2024-11-01,
178,70,11,1,2024-11-01,2025-10-01
179,71,8,1,2024-11-01,
180,72,4,1,2024-11-01,
181,73,10,1,2024-11-01,
182,74,2,1,2024-11-01,
183,74,1,1,2024-11-01,2026-02-01
184,74,8,1,2024-11-01,
185,75,5,1,2024-11-01,
