id,member_id,product_id,quantity,start_month,cancel_month
1,1,1,1,2026-07-01,
2,1,3,1,2026-07-01,
3,2,1,1,2026-07-01,
4,2,7,1,2026-07-01,
5,3,2,1,2026-07-01,
6,4,8,1,2026-07-01,
7,4,9,1,2026-07-01,
8,5,11,1,2026-07-01,
9,6,5,1,2026-07-01,
10,6,12,1,2026-07-01,
11,7,1,2,2026-07-01,
12,7,2,2,2026-07-01,
13,7,3,2,2026-07-01,
14,7,4,2,2026-07-01,
15,7,5,2,2026-07-01,
16,7,6,2,2026-07-01,
17,7,7,1,2026-07-01,
18,7,8,1,2026-07-01,
19,7,9,1,2026-07-01,
20,7,10,1,2026-07-01,
21,7,11,1,2026-07-01,
22,7,12,1,2026-07-01,
23,8,7,1,2026-07-01,
24,8,11,1,2026-07-01,
25,9,1,1,2026-07-01,
26,9,2,1,2026-07-01,
27,9,3,1,2026-07-01,
28,10,9,1,2026-07-01,
